=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_134108.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Refrigerante Coca Cola Light Lata 310ml                                          | R$ 3.79
 ✅ Refrigerante Schweppes Citrus Lata 350ml                                         | R$ 3.79
 ✅ Refrigerante Coca Cola Lata 350ml                                                | R$ 3.79
 ✅ Água Saborizada Crystal Tangerina E Capim Limão 510ml                            | R$ 2.99
 ✅ Refrigerante Soda Limonada Pet 2 L                                               | R$ 8.29
 ✅ Água Tônica Schweppes Original Lata 350ml                                        | R$ 3.29
 ✅ Refrigerante Conti Laranja Pet 3 L                                               | R$ 7.79
 ✅ Refrigerante Coca Cola Café Lata 220ml                                           | R$ 2.99
 ✅ Refrigerante Soda Limonada Lata 350ml                                            | R$ 3.19
 ✅ Refrigerante Sprite Sem Açúcar Lata 350ml                                        | R$ 3.39
 ✅ Refrigerante Fanta Uva Pet 2 L                                                   | R$ 7.49

   [NAVEGACAO] Acessando Página: 8 | URL: https://www.supercentralonline.com.br/departamentos/bebidas?page=8
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Água Saborizada Crystal Limão 510ml                                              | R$ 2.99
 ✅ Refrigerante Sprite Lata 220ml                                                   | R$ 2.79
 ✅ Refrigerante Coca-cola Zero Garrafa 250ml                                        | R$ 3.79
 ✅ Refrigerante Antarctica Guaraná Zero Pet 1,5 L                                   | R$ 6.99
 ✅ Refrigerante Sprite Lemon Fresh Pet 510ml                                        | R$ 3.19
 ✅ Refrigerante Sukita Uva Pet 2 L                                                  | R$ 5.99
 ✅ Refrigerante Coca Cola Zero Pet 1,5 L                                            | R$ 8.65
 ✅ Refrigerante Sukita Laranja Pet 2 L                                              | R$ 5.99
 ✅ Refrigerante Fanta Laranja Pet 2 L                                               | R$ 7.49
 ✅ Refrigerante Sukita Uva Pet 200ml                                                | R$ 1.49
 ✅ Refrigerante Fanta Uva Lata 350ml                                                | R$ 3.39
 ✅ Refrigerante Fanta Laranja Pet 600ml                                             | R$ 3.99
 ✅ Refrigerante Coca Cola Lata 310ml                                                | R$ 3.19
 ✅ Refrigerante Coca Cola Zero Pet 600ml                                            | R$ 5.39
 ✅ Refrigerante Coca Cola Pet 1,5 L                                                 | R$ 8.65
