=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_141715.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Molho Shoyu Sakura Tradicional 150ml                                             | R$ 5.35
 ✅ Molho Shoyu Tchetto 900ml                                                        | R$ 9.98
 ✅ Molho Shoyu Castelo 150ml                                                        | R$ 4.49
 ✅ Molho Shoyu Aji No Shoyu 150ml                                                   | R$ 4.99
 ✅ Molho Shoyu Sakura Tradicional 500ml                                             | R$ 18.49
 ✅ Vinagre De Arroz Karui 750ml                                                     | R$ 11.98

   [NAVEGACAO] Acessando Página: 29 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=29
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Gengibre Karui Beni-shooga Fatias 150g                                           | R$ 36.98
 ✅ Macarrão Yakissoba Mezzani 500g                                                  | R$ 13.79
 ✅ Óleo De Gergelim Torrado Karui 100ml                                             | R$ 21.49
 ✅ Macarrão Somen Karui 500g                                                        | R$ 12.58
 ✅ Alga Karui Nori 10 Folhas                                                        | R$ 27.98
 ✅ Molho De Wasabi Karui 43g                                                        | R$ 19.99
 ✅ Molho Shoyu Karui Light 150ml                                                    | R$ 5.29
 ✅ Molho Yakissoba Karui 500ml                                                      | R$ 18.47
 ✅ Molho Temaki Karui 250ml                                                         | R$ 23.99
 ✅ Molho Shoyu Karui Tradicional 1,01 L                                             | R$ 22.67
 ✅ Gengibre Karui Beni-shooga Palito 200g                                           | R$ 36.98
 ✅ Caldo Royal Karui Curry Médio 120g                                               | R$ 33.78
 ✅ Molho Para Sushi Karui 250ml                                                     | R$ 21.95
 ✅ Molho Shoyu Karui Tradicional 150ml                                              | R$ 4.58
 ✅ Gergelim Karui Branco 100g                                                       | R$ 11.45
 ✅ Gergelim Karui Torrado 100g                                                      | R$ 12.75
 ✅ Macarrão Somen Karui 500g                                                        | R$ 12.99
 ✅ Molho Shoyu Karui Tradicional 500ml                                              | R$ 14.90
 ✅ Macarrão Yakissoba Karui 500g                                                    | R$ 12.78
 ✅ Caldo Royal Karui Curry Suave 120g                                               | R$ 33.78
 ✅ Macarrão Oriental Karui Sem Glúten 500g                                          | R$ 17.98
 ✅ Gergelim Karui Misto 100g                                                        | R$ 12.95
 ✅ Molho Tarê Karui 250ml                                                           | R$ 14.89
 ✅ Mostarda Castelo 200g                                                            | R$ 4.69
 ✅ Ketchup Heinz Picles 397g                                                        | R$ 16.59
 ✅ Ketchup Heinz Tradicional 567g                                                   | R$ 19.27
 ✅ Ketchup Predilecta Tradicional 400g                                              | R$ 6.87
 ✅ Ketchup Siamar Tradicional 400g                                                  | R$ 6.65
 ✅ Mostarda Siamar 200g                                                             | R$ 4.39
 ✅ Kettchup Siamar Tradicional 190g                                                 | R$ 3.99
 ✅ Mostarda Fugini Sachê 180g                                                       | R$ 4.15
 ✅ Mostarda Castelo Premium 180g                                                    | R$ 8.87
 ✅ Ketchup Heinz Picante 397g                                                       | R$ 16.59
 ✅ Ketchup Hellmann`s Picante 380g                                                  | R$ 13.89
 ✅ Ketchup Heinz Bacon E Cebola 397g                                                | R$ 16.59
 ✅ Ketchup Predilecta Picante 400g                                                  | R$ 6.87
 ✅ Mostarda Hellmann`s 170g                                                         | R$ 9.98
 ✅ Ketchup Fugini Tradicional Sachê 180g                                            | R$ 2.99
 ✅ Kit Promocional Catchup, Maionese, Mostarda Heinz 867g                           | R$ 42.90
 ✅ Ketchup Tchetto Tradicional 380g                                                 | R$ 5.79

   [NAVEGACAO] Acessando Página: 30 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=30
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Ketchup Castelo Premium Tradicional 380g                                         | R$ 9.98
 ✅ Ketchup Arisco Tradicional 370g                                                  | R$ 9.95
 ✅ Ketchup Siamar Tradicional 980ml                                                 | R$ 14.55
 ✅ Mostarda Arisco 200g                                                             | R$ 7.85
 ✅ Mostarda Predilecta 180g                                                         | R$ 4.99
 ✅ Ketchup Siamar Picante 400g                                                      | R$ 6.65
 ✅ Ketchup Tchetto Tradicional 180g                                                 | R$ 5.19
 ✅ Ketchup Hellmann`s Tradicional 380g                                              | R$ 13.89
 ✅ Ketchup Heinz Tradicional 397g                                                   | R$ 16.59
 ✅ Mostarda Heinz 255g                                                              | R$ 17.39
 ✅ Mostarda Siamar 900g                                                             | R$ 13.55
 ✅ Ketchup Tchetto Tradicional 900g                                                 | R$ 13.98
 ✅ Ketchup Tchetto Picante 380g                                                     | R$ 5.79
 ✅ Ketchup Hellmann`s Supreme 390g                                                  | R$ 16.98
   ❌ FILTRADO: Preço NULL. Descrição: Òleo Composto De Soja E Oliva Olivia Tradicional Pet 500ml                      
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva Cocinero Extra Virgem Pet 250ml                                 
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva O-live Extra Virgem Vidro 500ml                                 
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Dende Siamar 100ml                                                    
   ❌ FILTRADO: Preço NULL. Descrição: Azeite Especial La Espanola Extra Virgem 500ml                                  
   ❌ FILTRADO: Preço NULL. Descrição: Òleo Composto De Soja E Oliva Maria Tradicional Lata 500ml                      
   ❌ FILTRADO: Preço NULL. Descrição: Azeite Extra Virgem Cordoba 500ml                                               
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva La Española 500ml                                               
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva Rafael Salgado Extra Virgem Jarra 500ml                         
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva Borges Extra Virgem Frutado Vidro 500ml                         
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva Borges Extra Virgem Equilibrado Vidro 500ml                     
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva O-live Extra Virgem Vidro 250ml                                 
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva Borges Extra Virgem Marcante Vidro 500ml                        
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva Gallo Extra Virgem Reserva 250ml                                
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva O-live Extra Virgem Vidro 450ml                                 
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva Alma Lusa Extra Virgem Vidro 500ml                              
   ❌ FILTRADO: Preço NULL. Descrição: Óleo Composto De Soja E Oliva Santa Isabel 500 Ml                               
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva Rossio Intenso 500ml                                            
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva Rossio Frutado 500ml                                            
   ❌ FILTRADO: Preço NULL. Descrição: Azeite De Oliva Rossio Maduro 500ml                                             
   ❌ FILTRADO: Preço NULL. Descrição: Azeitonas Pretas Vale Fértil Com Caroço 150g                                    
   ❌ FILTRADO: Preço NULL. Descrição: Azeitonas Verdes Vale Fértil Com Caroço 200g                                    
   ❌ FILTRADO: Preço NULL. Descrição: Azeitonas Verdes Tchetto Sem Caroço Sachê 120g                                  
   ❌ FILTRADO: Preço NULL. Descrição: Azeitonas Verdes Castelo Sem Caroço Sachê 150g                                  
   ❌ FILTRADO: Preço NULL. Descrição: Azeitonas Verdes Tchetto Recheada Sachê 120g                                    
   ❌ FILTRADO: Preço NULL. Descrição: Azeitonas Verdes Castelo Sem Caroço 150g                                        

   [NAVEGACAO] Acessando Página: 31 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=31
   [EXTRACAO] Encontrados 40 elementos de produto na página.
   ❌ FILTRADO: Preço NULL. Descrição: Azeitonas Verdes Castelo Fatiadas 160g                                          
